Input Current [A],Battery Voltage [V],Raw - input current [V],Raw - battery voltage [V]
-0.079516,12.776894,2.4238,2.33105
-0.076875,12.825365,2.42425,2.342375
-0.079809,12.766194,2.42375,2.32855
-0.077315,12.81916,2.424175,2.340925
-0.079222,12.777322,2.42385,2.33115
-0.077902,12.8213,2.424075,2.341425
-0.079076,12.763627,2.423875,2.32795
-0.077021,12.819801,2.424225,2.341075
-0.081717,12.775289,2.423425,2.330675
-0.077902,12.816591,2.424075,2.340325
-0.078489,12.767799,2.423975,2.328925
-0.077461,12.819479,2.42415,2.341
-0.077022,12.771223,2.424225,2.329725
-0.073647,12.812739,2.4248,2.339425
-0.075408,12.780426,2.4245,2.331875
-0.077608,12.816699,2.424125,2.34035
-0.079222,12.763305,2.42385,2.327875
-0.076288,12.818837,2.42435,2.34085
-0.077315,12.778284,2.424175,2.331375
-0.029635,12.860247,2.4323,2.350525
-0.029928,12.817233,2.43225,2.340475
-0.051201,12.845587,2.428625,2.3471
-0.072327,12.788343,2.425025,2.333725
-0.077168,12.785563,2.4242,2.333075
-0.070713,12.825151,2.4253,2.342325
-0.069393,12.810385,2.425525,2.338875
-0.070127,12.780426,2.4254,2.331875
-0.071887,12.803752,2.4251,2.337325
-0.07262,12.827826,2.424975,2.34295
-0.073647,12.800113,2.4248,2.336475
-0.073061,12.774649,2.4249,2.330525
-0.078195,11.337637,2.424025,1.994775
-0.07218,11.091431,2.42505,1.93725
-0.067779,12.74351,2.4258,2.32325
-0.074381,12.048973,2.424675,2.160975
-0.073648,12.19214,2.4248,2.194425
-0.074381,12.21996,2.424675,2.200925
-0.074674,12.337125,2.424625,2.2283
